unit,treated_group,year,post,outcome
C00,0,2017,0,50.52600453039521
C00,0,2018,0,52.17628435999672
C00,0,2019,1,50.86877664879671
C00,0,2020,1,60.08753769809355
C01,0,2017,0,50.63118481648891
C01,0,2018,0,47.35985358351642
C01,0,2019,1,49.20770867202806
C01,0,2020,1,59.41641318148387
C02,0,2017,0,51.39149436936818
C02,0,2018,0,45.302816282980196
C02,0,2019,1,56.043136911587226
C02,0,2020,1,58.79408109328166
C03,0,2017,0,54.03002896308949
C03,0,2018,0,49.84889735677475
C03,0,2019,1,51.11288133600302
C03,0,2020,1,53.620628745746046
C04,0,2017,0,57.61078871039567
C04,0,2018,0,50.473637323778554
C04,0,2019,1,56.76259957624583
C04,0,2020,1,55.05812264583816
C05,0,2017,0,50.4915235769993
C05,0,2018,0,45.98594254028976
C05,0,2019,1,50.851398553699696
C05,0,2020,1,59.95126472520008
C06,0,2017,0,46.24476855327651
C06,0,2018,0,54.21668263480384
C06,0,2019,1,53.01171344754539
C06,0,2020,1,53.86814722504723
C07,0,2017,0,48.49520818572298
C07,0,2018,0,49.62280296988376
C07,0,2019,1,51.851441986172496
C07,0,2020,1,55.39156810217072
C08,0,2017,0,47.51813629758639
C08,0,2018,0,50.086236892455545
C08,0,2019,1,48.91933078417286
C08,0,2020,1,53.13142028207077
C09,0,2017,0,49.855470552477925
C09,0,2018,0,53.648622676663706
C09,0,2019,1,47.411884884647904
C09,0,2020,1,57.010524454391884
C10,0,2017,0,48.05013141559611
C10,0,2018,0,48.06856368859593
C10,0,2019,1,54.560312958143854
C10,0,2020,1,55.445490932728
C11,0,2017,0,54.49490504919464
C11,0,2018,0,48.66048190756082
C11,0,2019,1,53.1595059808775
C11,0,2020,1,56.31815098032839
C12,0,2017,0,47.73793457262091
C12,0,2018,0,52.76302512773326
C12,0,2019,1,51.53505228077558
C12,0,2020,1,58.80963174214094
C13,0,2017,0,49.85812547834901
C13,0,2018,0,47.742551234095686
C13,0,2019,1,51.69379227043328
C13,0,2020,1,57.15586550854842
C14,0,2017,0,52.87538886164359
C14,0,2018,0,48.281192977994465
C14,0,2019,1,51.88201044019809
C14,0,2020,1,51.834363809309885
C15,0,2017,0,51.954479181029946
C15,0,2018,0,47.75555107607806
C15,0,2019,1,46.580921436749186
C15,0,2020,1,56.822349497175786
C16,0,2017,0,53.31705487598854
C16,0,2018,0,46.426659155364376
C16,0,2019,1,48.73589324383472
C16,0,2020,1,54.77017532684015
C17,0,2017,0,46.61151006097399
C17,0,2018,0,52.138283665003755
C17,0,2019,1,49.57789766486654
C17,0,2020,1,54.83545579061939
C18,0,2017,0,51.74991619604693
C18,0,2018,0,48.73345610709395
C18,0,2019,1,53.298340293342164
C18,0,2020,1,54.08584448435387
C19,0,2017,0,46.36358445735413
C19,0,2018,0,45.49365213242723
C19,0,2019,1,57.583608360735184
C19,0,2020,1,56.03922290360701
